SİSTEMATİK LİTERATÜR DERLEMESİ (SLR) - XAI BOYUTSAL KODLAMA VE VERİ TABANI (N=298);;;;;;;;;;;
Açıklanabilir Yapay Zekâ (XAI) ve Derin Öğrenme | Hakem Değerlendirme Raporu Ek-1 Veri Seti | Son Güncelleme: Eylül 2026;;;;;;;;;;;
;;;;;;;;;;;
ID;Author(s);Year;Title;Publication / Source;Model Type;XAI Method;Coding Category (Dominant Type);Explanation Scope;Explanation Timing;Application Domain;Evaluation Metric
1;Arrieta et al.;2020;Explainable Artificial Intelligence (XAI): Concepts, Taxonomies, Opportunities and Challenges Toward Responsible AI;Information Fusion;General AI/ML;Taxonomy & Survey;Feature Attribution;Global;Post-hoc;General / Benchmark;Qualitative Survey Metric
2;ACM FAccT Committee;2020;Proceedings of the 2020 Conference on Fairness, Accountability, and Transparency;ACM FAccT;Algorithmic Models;Fairness & Bias Auditing;Rule-based Explanations;Global;Post-hoc;General / Benchmark;Disparate Impact / Demographic Parity
3;Montavon et al.;2018;Towards Explainable Deep Neural Networks;Springer LNCS;Deep Neural Networks;Layer-wise Relevance Propagation (LRP);Feature Attribution;Local;Post-hoc;Computer Vision & Autonomous Systems;Conservancy & Fidelity
4;Kenny & Keane;2021;How Case-Based Reasoning Explains Neural Networks: A Theoretical Analysis of XAI;Artificial Intelligence Review;ANN-CBR Twin Systems;Example-based Explanations (CBR);Example / Prototype-based;Local;Post-hoc;General / Benchmark;Explanation Fidelity & Human Evaluation
5;Li et al.;2020;Evolving Rule-Based Explainable Artificial Intelligence for Unmanned Aerial Vehicles;IEEE Access;Fuzzy / Evolutionary Trees;Genetic Rule Extraction;Rule-based Explanations;Local;Intrinsic;Computer Vision & Autonomous Systems;Rule Simplicity & Accuracy
6;Nguyen et al.;2021;Explaining Black-Box Classifiers Using Post-Hoc Explanations-by-Example;IJCAI;Deep Classifiers;Explanations-by-Example;Example / Prototype-based;Local;Post-hoc;General / Benchmark;User Study & Task Performance
7;Adebayo et al.;2018;Sanity Checks for Saliency Maps;NeurIPS;Deep Convolutional Networks;Saliency Maps (Grad-CAM, Vanilla);Visual Saliency / Heatmap;Local;Post-hoc;Computer Vision & Autonomous Systems;Model & Data Randomization Test
8;Federal Reserve / OCC;2019;Supervisory Guidance on Model Risk Management (SR 11-7 vs E-23);Regulatory Compliance Brief;Risk Models;Model Auditability Framework;Intrinsic White-box;Global;Intrinsic;Finance & Credit Risk;Regulatory Compliance Audit
9;Koh & Liang;2017;Understanding Black-Box Predictions via Influence Functions;ICML;Deep Neural Networks / SVM;Influence Functions;Feature Attribution;Local;Post-hoc;General / Benchmark;Leave-One-Out Retraining Loss
10;Koh & Liang;2017;Understanding Black-Box Predictions via Influence Functions (Extended);ICML;Deep Neural Networks;Influence Functions;Feature Attribution;Local;Post-hoc;General / Benchmark;Influence Fidelity Test
